ano_mes_lancamento,Nome Elemento de Despesa,valor_empenhado
2015/08,Indenizações e Restituições,958762.64
2015/08,Locação de Mão-de-Obra,2538106.44
2015/08,Material de Consumo,2276698.0
2015/08,"Material, Bem ou Serviço para Distribuição",0.0
2015/08,Obras e Instalações,19475.78
2015/08,Outros Auxílios Financeiros a Pessoas Físic,616085.85
2015/08,Outros Serviços de Terceiros - Pessoa Físic,1215919.7000000002
2015/08,Outros Serviços de Terceiros - Pessoa Juríd,16869631.509999998
2015/08,Passagens e Despesas com Locomoção,242010.32
2015/09,Auxílio Financeiro a Estudantes,150925.25
2015/09,Auxílio Financeiro a Pesquisadores,10240.0
2015/09,Despesas de Exercícios Anteriores,340308.96
2015/09,Diárias - Civil,151040.37
2015/09,Equipamentos e Material Permanente,2438222.25
2015/09,Indenizações e Restituições,1089766.37
2015/09,Locação de Mão-de-Obra,-43678.46
2015/09,Material de Consumo,2769887.19
2015/09,"Material, Bem ou Serviço para Distribuição",0.0
2015/09,Obras e Instalações,4224.91
2015/09,Outros Auxílios Financeiros a Pessoas Físic,1576510.04
2015/09,Outros Serviços de Terceiros - Pessoa Físic,338534.62
2015/09,Outros Serviços de Terceiros - Pessoa Juríd,2643016.0300000003
2015/09,Passagens e Despesas com Locomoção,178294.64
2015/10,Auxílio Financeiro a Estudantes,267863.70999999996
2015/10,Auxílio Financeiro a Pesquisadores,254823.2
2015/10,Contribuições,82640.11
2015/10,Despesas de Exercícios Anteriores,48201.200000000004
2015/10,Diárias - Civil,16881.739999999998
2015/10,Equipamentos e Material Permanente,4722303.67
2015/10,Indenizações e Restituições,1415866.7600000002
2015/10,Locação de Mão-de-Obra,-13375.28
2015/10,Material de Consumo,3788382.18
2015/10,"Material, Bem ou Serviço para Distribuição",17013.92
2015/10,Obras e Instalações,1297352.36
2015/10,Outros Auxílios Financeiros a Pessoas Físic,155926.0
2015/10,Outros Serviços de Terceiros - Pessoa Físic,236142.87
2015/10,Outros Serviços de Terceiros - Pessoa Juríd,5235289.9
2015/10,Passagens e Despesas com Locomoção,132401.78
2015/11,Auxílio Financeiro a Estudantes,815740.0
2015/11,Auxílio Financeiro a Pesquisadores,268920.0
2015/11,Contribuições,0.0
2015/11,Despesas de Exercícios Anteriores,70713.01000000001
2015/11,Diárias - Civil,-15621.099999999999
2015/11,Equipamentos e Material Permanente,3222358.2800000003
2015/11,Indenizações e Restituições,955655.84
2015/11,Locação de Mão-de-Obra,0.0
2015/11,Material de Consumo,3284011.02
2015/11,"Material, Bem ou Serviço para Distribuição",0.0
2015/11,Obras e Instalações,192378.89
2015/11,Outros Auxílios Financeiros a Pessoas Físic,1098787.13
2015/11,Outros Serviços de Terceiros - Pessoa Físic,545346.52
2015/11,Outros Serviços de Terceiros - Pessoa Juríd,13955148.93
2015/11,Passagens e Despesas com Locomoção,-41032.51
2015/12,Auxílio Financeiro a Estudantes,-864982.21
2015/12,Auxílio Financeiro a Pesquisadores,39356.4
2015/12,Contribuições,0.0
2015/12,Despesas de Exercícios Anteriores,167862.39
2015/12,Diárias - Civil,-605560.47
2015/12,Equipamentos e Material Permanente,0.0
2015/12,Indenizações e Restituições,929820.96
2015/12,Locação de Mão-de-Obra,0.0
2015/12,Material de Consumo,-44017.19
2015/12,"Material, Bem ou Serviço para Distribuição",0.0
2015/12,Obras e Instalações,0.0
2015/12,Outros Auxílios Financeiros a Pessoas Físic,-30279.72
2015/12,Outros Serviços de Terceiros - Pessoa Físic,-98187.16
2015/12,Outros Serviços de Terceiros - Pessoa Juríd,-79008.47
2015/12,Passagens e Despesas com Locomoção,-366998.37
2016/01,Auxílio Financeiro a Estudantes,1033240.0
2016/01,Auxílio Financeiro a Pesquisadores,0.0
2016/01,Contribuições,0.0
2016/01,Despesas de Exercícios Anteriores,57917.22
2016/01,Diárias - Civil,26030.0
2016/01,Equipamentos e Material Permanente,0.0
2016/01,Indenizações e Restituições,1831694.0100000002
2016/01,Locação de Mão-de-Obra,305190.35
2016/01,Material de Consumo,0.0
2016/01,Obras e Instalações,0.0
2016/01,Outros Auxílios Financeiros a Pessoas Físic,841598.68
2016/01,Outros Serviços de Terceiros - Pessoa Físic,2010.0
2016/01,Outros Serviços de Terceiros - Pessoa Juríd,2005131.42
2016/01,Passagens e Despesas com Locomoção,44710.0
2016/02,Auxílio Financeiro a Estudantes,2000017.8
2016/02,Auxílio Financeiro a Pesquisadores,0.0
2016/02,Contribuições,14400.67
2016/02,Despesas de Exercícios Anteriores,97128.95000000001
2016/02,Diárias - Civil,483804.5
2016/02,Equipamentos e Material Permanente,0.0
2016/02,Indenizações e Restituições,1168616.65
2016/02,Locação de Mão-de-Obra,1042829.96
2016/02,Material de Consumo,392634.60000000003
2016/02,"Material, Bem ou Serviço para Distribuição",0.0
2016/02,Obras e Instalações,71459.37
2016/02,Outros Auxílios Financeiros a Pessoas Físic,380632.2
2016/02,Outros Serviços de Terceiros - Pessoa Físic,192267.83000000002
2016/02,Outros Serviços de Terceiros - Pessoa Juríd,3871819.38
2016/02,Passagens e Despesas com Locomoção,405972.88
