ano_mes,realizado,pred_sarimax,erro_percentual,pred_arima,erro_perc_arima,pred_xgboost,erro_perc_xgboost,pred_randomforest,erro_perc_randomforest
2025-01-01,27251599.63,16065396.361505613,41.04787763056675,13791627.693445878,49.3914930473904,13564697.0,50.224217351750355,15262515.422815368,43.99405675249393
2025-02-01,14300044.04,8796905.586859006,38.48336716829433,8354148.84906742,41.57955859646832,12771858.0,10.686582752650027,13762862.670206679,3.75650150650389
2025-03-01,12490802.21,16414964.899152271,-31.416418442769235,15795827.271224845,-26.45967012894396,13099271.0,-4.871334761132196,19831578.029522344,-58.76945048129409
2025-04-01,16527356.71,18442659.508055273,-11.58868191485456,18891350.66871529,-14.303521126792987,11138814.0,32.603778114982056,15362257.576985303,7.049518888339507
2025-05-01,9034222.26,22317214.389676537,-147.02972483296557,22691291.595146284,-151.17039344509408,16746268.0,-85.36479973650762,18779773.88085399,-107.87371995488164
2025-06-01,15834519.58,17041798.051849525,-7.6243454419317755,16755032.869787682,-5.813332606253161,19743108.0,-24.683972256012062,22658104.418422952,-43.09309672420733
2025-07-01,22943801.53,15582137.988704452,32.08563119616362,15951078.793587953,30.47761168640149,16283164.0,29.030226404682455,18187102.198223755,20.731958152430217
2025-08-01,30293040.91,10569494.278393656,65.10916711928851,10588115.345945006,65.0476973328558,10860568.0,64.14830709050791,10804727.297186213,64.33264217584876
2025-09-01,6786442.92,14643086.066226406,-115.76967844336329,15340674.187092967,-126.04882068459148,9741684.0,-43.546245283972645,13031965.942051802,-92.0294047364034
2025-10-01,42403424.53,24437770.486750375,42.368403595655586,25816950.48527944,39.11588327727113,15528941.0,63.37809700012924,18364308.487873264,56.69144959063223
2025-11-01,12080978.98,14185116.716512784,-17.416947252339163,14230973.761406181,-17.796527789390947,15295654.0,-26.60939171669676,13861071.39959857,-14.734670282478787
2025-12-01,26330021.52,23353623.261506625,11.304199870222416,23136158.843131255,12.130117988861949,18924212.0,28.126864668054388,28337708.36616795,-7.625086233381669
